"","sample_size","effect_size","power"
"299",2.30386133018724,3.28,0.6
"300",2.29921624442447,3.29,0.6
"301",2.29456427165653,3.3,0.6
"302",2.28996040071225,3.31,0.6
"303",2.28540138689084,3.32,0.6
"304",2.28088537951245,3.33,0.6
"305",2.27641121430168,3.34,0.6
"306",2.27197806327583,3.35,0.6
"307",2.26760946591157,3.36,0.6
"308",2.26321119477778,3.37,0.6
"309",2.2589065329857,3.38,0.6
"310",2.25465381016263,3.39,0.6
"311",2.25041115825666,3.4,0.6
"312",2.24620945562221,3.41,0.6
"313",2.24204646561639,3.42,0.6
"314",2.23792091732799,3.43,0.6
"315",2.23383223491898,3.44,0.6
"316",2.22980620272899,3.45,0.6
"317",2.22574295785364,3.46,0.6
"318",2.22176904504804,3.47,0.6
"319",2.21782588278486,3.48,0.6
"320",2.21392207889302,3.49,0.6
"321",2.21003946994519,3.5,0.6
"322",2.20619168675148,3.51,0.6
"323",2.20237743727649,3.52,0.6
"324",2.19860674000903,3.53,0.6
"325",2.1948197855342,3.54,0.6
"326",2.19111495736123,3.55,0.6
"327",2.18743557936002,3.56,0.6
"328",2.18378393999722,3.57,0.6
"329",2.1801611529577,3.58,0.6
"330",2.17656993126032,3.59,0.6
"331",2.17300452941293,3.6,0.6
"332",2.16946913059409,3.61,0.6
"333",2.16598968732104,3.62,0.6
"334",2.16246843540695,3.63,0.6
"335",2.15902848743508,3.64,0.6
"336",2.15561237499831,3.65,0.6
"337",2.15222183923834,3.66,0.6
"338",2.14885764660946,3.67,0.6
"339",2.14552004489578,3.68,0.6
"340",2.14220944727132,3.69,0.6
"341",2.13894775515371,3.7,0.6
"342",2.13564783171872,3.71,0.6
"343",2.13242477581919,3.72,0.6
"344",2.12922237565454,3.73,0.6
"345",2.12604288575224,3.74,0.6
"346",2.12288727305665,3.75,0.6
"347",2.11975586715252,3.76,0.6
"348",2.11664868416667,3.77,0.6
"349",2.11359330732341,3.78,0.6
"350",2.11049162301415,3.79,0.6
"351",2.1074643681972,3.8,0.6
"352",2.10445584713319,3.81,0.6
"353",2.10146837508435,3.82,0.6
"354",2.09850285855155,3.83,0.6
"355",2.09555956322409,3.84,0.6
"356",2.09263846845215,3.85,0.6
"357",2.08971850388298,3.86,0.6
"358",2.08685398629782,3.87,0.6
"359",2.08400349424876,3.88,0.6
"360",2.08117131527359,3.89,0.6
"361",2.07835908178124,3.9,0.6
"362",2.07556731157679,3.91,0.6
"363",2.07279607157107,3.92,0.6
"364",2.070045251757,3.93,0.6
"365",2.06730740688501,3.94,0.6
"366",2.06460174020462,3.95,0.6
"367",2.06191266703073,3.96,0.6
"368",2.05924211281693,3.97,0.6
"369",2.05659060911261,3.98,0.6
"370",2.05395819612177,3.99,0.6
"371",2.05133647474212,4,0.6
"372",138.122232210455,0.3,0.7
"373",129.416630988181,0.31,0.7
"374",121.514383729018,0.32,0.7
"375",114.319664044338,0.33,0.7
"376",107.750418930337,0.34,0.7
"377",101.73626596804,0.35,0.7
"378",96.2163011261668,0.36,0.7
"379",91.1378867255444,0.37,0.7
"380",86.4551329501883,0.38,0.7
"381",82.1280740993526,0.39,0.7
"382",78.1214617069015,0.4,0.7
"383",74.4044920556118,0.41,0.7
"384",70.949909340499,0.42,0.7
"385",67.7335786022661,0.43,0.7
"386",64.7341002365364,0.44,0.7
"387",61.9324180331893,0.45,0.7
"388",59.311450798978,0.46,0.7
"389",56.8560903640112,0.47,0.7
"390",54.5526930348823,0.48,0.7
"391",52.3888705480152,0.49,0.7
"392",50.3536287032505,0.5,0.7
"393",48.4369844806455,0.51,0.7
"394",46.629904215518,0.52,0.7
"395",44.9242054050358,0.53,0.7
"396",43.3124243451774,0.54,0.7
"397",41.7878371886638,0.55,0.7
"398",40.3442092868958,0.56,0.7
"399",38.9759629404467,0.57,0.7
"400",37.6779251559114,0.58,0.7
"401",36.4453597603713,0.59,0.7
"402",35.2740133389858,0.6,0.7
"403",34.1598257042494,0.61,0.7
"404",33.0991693351915,0.62,0.7
"405",32.0886733383842,0.63,0.7
"406",31.125224483409,0.64,0.7
"407",30.2059524650588,0.65,0.7
"408",29.3281949914301,0.66,0.7
"409",28.4894976414976,0.67,0.7
"410",27.6875808243879,0.68,0.7
"411",26.9203289484477,0.69,0.7
"412",26.1857763831596,0.7,0.7
"413",25.4820948109885,0.71,0.7
"414",24.8075818356768,0.72,0.7
"415",24.160650721896,0.73,0.7
"416",23.5398410390617,0.74,0.7
"417",22.9437047654163,0.75,0.7
"418",22.3710277283423,0.76,0.7
"419",21.8205680976365,0.77,0.7
"420",21.2911868085768,0.78,0.7
"421",20.7818369454291,0.79,0.7
"422",20.2915194162505,0.8,0.7
"423",19.819300131925,0.81,0.7
"424",19.3643001294284,0.82,0.7
"425",18.9256891948219,0.83,0.7
"426",18.5027293961415,0.84,0.7
"427",18.0946443615862,0.85,0.7
"428",17.7007631024078,0.86,0.7
"429",17.3204373664308,0.87,0.7
"430",16.9530549609419,0.88,0.7
"431",16.5980364752503,0.89,0.7
"432",16.2548366995829,0.9,0.7
"433",15.9229395633552,0.91,0.7
"434",15.601854908486,0.92,0.7
"435",15.2911221131954,0.93,0.7
"436",14.9903034998994,0.94,0.7
"437",14.6989843048634,0.95,0.7
"438",14.4167712464019,0.96,0.7
"439",14.1432911961668,0.97,0.7
"440",13.8781899460888,0.98,0.7
"441",13.6211310641641,0.99,0.7
"442",13.3717948326503,1,0.7
"443",13.1298772624251,1.01,0.7
"444",12.895103888711,1.02,0.7
"445",12.6671362642209,1.03,0.7
"446",12.4458082328202,1.04,0.7
"447",12.2308139844119,1.05,0.7
"448",12.021920428121,1.06,0.7
"449",11.8189046363884,1.07,0.7
"450",11.6215663811097,1.08,0.7
"451",11.4296488298442,1.09,0.7
"452",11.2430064826427,1.1,0.7
"453",11.061433524584,1.11,0.7
"454",10.884749919926,1.12,0.7
"455",10.7127834611083,1.13,0.7
"456",10.5453692477487,1.14,0.7
"457",10.3823491055516,1.15,0.7
"458",10.2235708933914,1.16,0.7
"459",10.0688876265138,1.17,0.7
"460",9.91821735428338,1.18,0.7
"461",9.77131598091925,1.19,0.7
"462",9.62813840024969,1.2,0.7
"463",9.48854217221536,1.21,0.7
"464",9.3524107378999,1.22,0.7
"465",9.21963141349237,1.23,0.7
"466",9.09009695381517,1.24,0.7
"467",8.96370413273499,1.25,0.7
"468",8.84035401685813,1.26,0.7
"469",8.71995045086905,1.27,0.7
"470",8.60240242851786,1.28,0.7
"471",8.48762189494199,1.29,0.7
"472",8.37552416385609,1.3,0.7
"473",8.26602776319529,1.31,0.7
"474",8.15905428897782,1.32,0.7
"475",8.05452826685796,1.33,0.7
"476",7.95237702096523,1.34,0.7
"477",7.85253054963609,1.35,0.7
"478",7.75492140766486,1.36,0.7
"479",7.65948459471485,1.37,0.7
"480",7.56616010405995,1.38,0.7
"481",7.47490111839666,1.39,0.7
"482",7.38556776271722,1.4,0.7
"483",7.29822616592246,1.41,0.7
"484",7.21276152234557,1.42,0.7
"485",7.12912211408736,1.43,0.7
"486",7.0472581398168,1.44,0.7
"487",6.96712155708575,1.45,0.7
"488",6.88866589895666,1.46,0.7
"489",6.81187027103889,1.47,0.7
"490",6.73661973209577,1.48,0.7
"491",6.66294874451628,1.49,0.7
"492",6.5907979933875,1.5,0.7
"493",6.52006704557641,1.51,0.7
"494",6.45079479894412,1.52,0.7
"495",6.38291511071745,1.53,0.7
"496",6.31639190667275,1.54,0.7
"497",6.25119025975049,1.55,0.7
"498",6.18727634038957,1.56,0.7
"499",6.12461736584732,1.57,0.7
"500",6.06318154717097,1.58,0.7
"501",6.00293803211317,1.59,0.7
"502",5.94385684183723,1.6,0.7
"503",5.88590879873035,1.61,0.7
"504",5.82906544204172,1.62,0.7
"505",5.77329892739678,1.63,0.7
"506",5.71858190553383,1.64,0.7
"507",5.66494841006143,1.65,0.7
"508",5.61224445978589,1.66,0.7
"509",5.5605440503832,1.67,0.7
"510",5.50979875139512,1.68,0.7
"511",5.45998593157784,1.69,0.7
"512",5.41108350660132,1.7,0.7
"513",5.36307024057774,1.71,0.7
"514",5.31592558286085,1.72,0.7
"515",5.26962902626617,1.73,0.7
"516",5.22416125114439,1.74,0.7
"517",5.17950326583099,1.75,0.7
"518",5.13563661282746,1.76,0.7
"519",5.09254335075318,1.77,0.7
"520",5.05020603700671,1.78,0.7
"521",5.00860771110631,1.79,0.7
"522",4.96773187868124,1.8,0.7
"523",4.92756249608649,1.81,0.7
"524",4.888083955615,1.82,0.7
"525",4.84928801647138,1.83,0.7
"526",4.81115466307582,1.84,0.7
"527",4.77366711974394,1.85,0.7
"528",4.73675027593605,1.86,0.7
"529",4.70051251877269,1.87,0.7
"530",4.66487951152728,1.88,0.7
"531",4.62983832362526,1.89,0.7
"532",4.59537638456577,1.9,0.7
"533",4.56148147268841,1.91,0.7
"534",4.52814170347879,1.92,0.7
"535",4.49534551730182,1.93,0.7
"536",4.46308166644551,1.94,0.7
"537",4.43133920135622,1.95,0.7
"538",4.40010745594667,1.96,0.7
"539",4.36937603185934,1.97,0.7
"540",4.33913478157047,1.98,0.7
"541",4.30938777893672,1.99,0.7
"542",4.28009891185039,2,0.7
